player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Timothy Castagne,BEL,26,90.0,0,0,0,0,0,0,0,0,100.0,3.0,2,1.0,0.0,0.0,0.1,1.0,0.0,88.0,92.0,95.7,4.0,78.0,0.0,0.0,0.0,1536.0,424.0,38.0,39.0,97.4,44.0,45.0,97.8,6.0,8.0,75.0,0.1,1.0,7.0,1.0,1.0,92.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,1.0,5.0,1.0,0.0,2.0,30.0,68.0,3.0,0.0,100.0,0.0,0.0,0.0,313.0,157.0,0.0,0.0,0.0,0.0,81.0,0.0,0,0,0,0,0.0,0.0,0,5.0,1.0,3.0,25.0,False,2021-2022,CB,None,None,None,1.0,Leicester_City_Tottenham,Leicester_City_Tottenham_2021,1.2,0.5,3.0,1.0,2022-05-01,Jonathan Moss,Tottenham Hotspur Stadium,Sun,14:00,"59,482",395,Tottenham,Leicester City,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.0,2.0,1.0,0.0,0.0,0.1,1.0,0.0,88.0,92.0,95.7,4.0,78.0,0.0,0.0,0.0,1536.0,424.0,38.0,39.0,97.4,44.0,45.0,97.8,6.0,8.0,75.0,0.1,1.0,7.0,1.0,1.0,92.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,1.0,5.0,1.0,0.0,2.0,30.0,68.0,3.0,0.0,100.0,0.0,0.0,0.0,313.0,157.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,25.0,1.0,1.2,0.5,3.0,1.0,395.0
Kasper Schmeichel,DEN,35,90.0,0,0,0,0,0,0,0,0,30.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,69.0,0.0,20.0,0.0,0.0,0.0,498.0,315.0,3.0,3.0,100.0,12.0,12.0,100.0,5.0,14.0,35.7,0.0,0.0,0.0,0.0,0.0,20.0,9.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,103.0,71.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,False,2021-2022,GK,None,None,None,1.0,Leicester_City_Tottenham,Leicester_City_Tottenham_2021,1.2,0.5,3.0,1.0,2022-05-01,Jonathan Moss,Tottenham Hotspur Stadium,Sun,14:00,"59,482",395,Tottenham,Leicester City,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,69.0,0.0,20.0,0.0,0.0,0.0,498.0,315.0,3.0,3.0,100.0,12.0,12.0,100.0,5.0,14.0,35.7,0.0,0.0,0.0,0.0,0.0,20.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,103.0,71.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.2,0.5,3.0,1.0,395.0
Harry Kane,ENG,29,90.0,1,1,0,0,2,1,0,0,40.0,0.0,0,0.0,0.5,0.5,0.3,3.0,1.0,21.0,31.0,67.7,5.0,23.0,2.0,7.0,3.0,410.0,128.0,10.0,15.0,66.7,5.0,6.0,83.3,4.0,6.0,66.7,0.0,3.0,2.0,0.0,0.0,24.0,6.0,0.0,0.0,2.0,1,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,16.0,4.0,40.0,42.9,4.0,57.1,203.0,59.0,3.0,3.0,1.0,2.0,30.0,6.0,0,0,1,0,0.0,0.0,0,2.0,2.0,2.0,50.0,True,2022-2023,FW,None,None,None,1.0,Leicester_City_Tottenham,Leicester_City_Tottenham_2022,2.2,1.8,6.0,2.0,2022-09-17,Simon Hooper,Tottenham Hotspur Stadium,Sat,17:30,"61,450",70,Tottenham,Leicester City,29.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.5,0.5,0.3,3.0,1.0,21.0,31.0,67.7,5.0,23.0,2.0,7.0,3.0,410.0,128.0,10.0,15.0,66.7,5.0,6.0,83.3,4.0,6.0,66.7,0.0,3.0,2.0,0.0,0.0,24.0,6.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,16.0,4.0,40.0,42.9,4.0,57.1,203.0,59.0,3.0,3.0,1.0,2.0,30.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,50.0,1.0,2.2,1.8,6.0,2.0,70.0
Richarlison,BRA,25,58.0,0,0,0,0,1,0,0,0,28.0,0.0,1,2.0,0.0,0.0,0.1,3.0,0.0,12.0,16.0,75.0,3.0,18.0,1.0,3.0,0.0,270.0,80.0,5.0,6.0,83.3,5.0,6.0,83.3,2.0,2.0,100.0,0.1,1.0,3.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,15.0,9.0,2.0,28.0,0.0,2.0,66.7,107.0,40.0,1.0,0.0,4.0,1.0,23.0,7.0,0,0,3,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2022-2023,AM,None,None,None,0.6444444444444445,Leicester_City_Tottenham,Leicester_City_Tottenham_2022,2.2,1.8,6.0,2.0,2022-09-17,Simon Hooper,Tottenham Hotspur Stadium,Sat,17:30,"61,450",70,Tottenham,Leicester City,38.79310344827586,0.0,0.0,0.0,0.0,1.5517241379310345,0.0,0.0,0.0,43.44827586206896,0.0,1.5517241379310345,3.103448275862069,0.0,0.0,0.15517241379310345,4.655172413793103,0.0,18.620689655172413,24.82758620689655,116.37931034482757,4.655172413793103,27.93103448275862,1.5517241379310345,4.655172413793103,0.0,418.9655172413793,124.13793103448275,7.758620689655172,9.310344827586206,129.25862068965515,7.758620689655172,9.310344827586206,129.25862068965515,3.103448275862069,3.103448275862069,155.17241379310343,0.15517241379310345,1.5517241379310345,4.655172413793103,1.5517241379310345,0.0,24.82758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5517241379310345,0.0,0.0,0.0,0.0,0.0,1.5517241379310345,0.0,1.5517241379310345,0.0,3.103448275862069,1.5517241379310345,0.0,0.0,0.0,6.206896551724138,23.275862068965516,13.96551724137931,3.103448275862069,43.44827586206896,0.0,3.103448275862069,103.5,166.03448275862067,62.068965517241374,1.5517241379310345,0.0,6.206896551724138,1.5517241379310345,35.689655172413794,10.86206896551724,0.0,0.0,4.655172413793103,0.0,0.0,0.0,0.0,1.5517241379310345,0.0,0.0,0.0,1.0,3.413793103448276,2.793103448275862,9.310344827586206,3.103448275862069,108.62068965517241
Son Heung-min,KOR,30,32.0,3,0,0,0,4,4,0,0,17.0,1.0,0,0.0,0.7,0.7,0.0,0.0,0.0,5.0,8.0,62.5,0.0,9.0,2.0,1.0,0.0,57.0,21.0,3.0,5.0,60.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,8.0,1.0,17.0,0.0,1.0,100.0,66.0,50.0,1.0,0.0,1.0,0.0,13.0,4.0,0,0,1,1,0.0,0.0,0,1.0,1.0,0.0,100.0,True,2022-2023,AM,None,None,None,0.35555555555555557,Leicester_City_Tottenham,Leicester_City_Tottenham_2022,2.2,1.8,6.0,2.0,2022-09-17,Simon Hooper,Tottenham Hotspur Stadium,Sat,17:30,"61,450",70,Tottenham,Leicester City,84.375,8.4375,0.0,0.0,0.0,11.25,11.25,0.0,0.0,47.8125,2.8125,0.0,0.0,1.9687499999999998,1.9687499999999998,0.0,0.0,0.0,14.0625,22.5,175.78125,0.0,25.3125,5.625,2.8125,0.0,160.3125,59.0625,8.4375,14.0625,168.75,5.625,5.625,281.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6875,2.8125,0.0,0.0,0.0,0.0,2.8125,0.0,0.0,0.0,0.0,0.0,2.8125,0.0,0.0,2.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8125,0.0,0.0,0.0,0.0,25.3125,22.5,2.8125,47.8125,0.0,2.8125,281.25,185.625,140.625,2.8125,0.0,2.8125,0.0,36.5625,11.25,0.0,0.0,2.8125,2.8125,0.0,0.0,0.0,2.8125,2.8125,0.0,281.25,1.0,6.1875,5.0625,16.875,5.625,196.875
Dejan Kulusevski,SWE,22,69.0,0,1,0,0,2,1,0,0,34.0,2.0,0,1.0,0.3,0.3,0.3,3.0,1.0,20.0,23.0,87.0,3.0,17.0,2.0,3.0,1.0,278.0,83.0,13.0,14.0,92.9,6.0,8.0,75.0,1.0,1.0,100.0,0.4,1.0,1.0,2.0,1.0,22.0,1.0,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,15.0,16.0,2.0,34.0,33.3,2.0,66.7,127.0,65.0,0.0,2.0,4.0,1.0,26.0,6.0,0,1,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,True,2022-2023,AM,None,None,None,0.7666666666666667,Leicester_City_Tottenham,Leicester_City_Tottenham_2022,2.2,1.8,6.0,2.0,2022-09-17,Simon Hooper,Tottenham Hotspur Stadium,Sat,17:30,"61,450",70,Tottenham,Leicester City,28.695652173913043,0.0,1.3043478260869565,0.0,0.0,2.608695652173913,1.3043478260869565,0.0,0.0,44.347826086956516,2.608695652173913,0.0,1.3043478260869565,0.3913043478260869,0.3913043478260869,0.3913043478260869,3.913043478260869,1.3043478260869565,26.08695652173913,29.999999999999996,113.4782608695652,3.913043478260869,22.173913043478258,2.608695652173913,3.913043478260869,1.3043478260869565,362.6086956521739,108.26086956521739,16.956521739130434,18.26086956521739,121.17391304347827,7.826086956521738,10.434782608695652,97.82608695652173,1.3043478260869565,1.3043478260869565,130.43478260869566,0.5217391304347826,1.3043478260869565,1.3043478260869565,2.608695652173913,1.3043478260869565,28.695652173913043,1.3043478260869565,0.0,0.0,0.0,2.608695652173913,0.0,1.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,1.3043478260869565,1.3043478260869565,0.0,1.3043478260869565,2.608695652173913,65.21739130434783,1.3043478260869565,0.0,1.3043478260869565,2.608695652173913,0.0,0.0,0.0,3.913043478260869,19.565217391304348,20.869565217391305,2.608695652173913,44.347826086956516,43.43478260869565,2.608695652173913,87.0,165.65217391304347,84.78260869565217,0.0,2.608695652173913,5.217391304347826,1.3043478260869565,33.91304347826087,7.826086956521738,0.0,1.3043478260869565,0.0,0.0,0.0,0.0,0.0,3.913043478260869,1.3043478260869565,0.0,130.43478260869566,1.0,2.869565217391304,2.3478260869565215,7.826086956521738,2.608695652173913,91.30434782608695
Yves Bissouma,MLI,26,21.0,0,0,0,0,0,0,0,0,20.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,16.0,19.0,84.2,0.0,7.0,0.0,0.0,0.0,177.0,42.0,13.0,14.0,92.9,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,9.0,2.0,0.0,20.0,0.0,0.0,0.0,40.0,9.0,0.0,0.0,0.0,0.0,16.0,0.0,0,1,0,0,0.0,0.0,0,2.0,1.0,0.0,100.0,True,2022-2023,AM,None,None,None,0.23333333333333334,Leicester_City_Tottenham,Leicester_City_Tottenham_2022,2.2,1.8,6.0,2.0,2022-09-17,Simon Hooper,Tottenham Hotspur Stadium,Sat,17:30,"61,450",70,Tottenham,Leicester City,111.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428571428571,0.0,8.571428571428571,0.0,0.0,0.0,0.0,4.285714285714286,0.0,68.57142857142857,81.42857142857143,360.8571428571429,0.0,30.0,0.0,0.0,0.0,758.5714285714286,180.0,55.714285714285715,60.0,398.14285714285717,8.571428571428571,8.571428571428571,428.57142857142856,0.0,0.0,0.0,0.0,0.0,4.285714285714286,0.0,0.0,81.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.571428571428571,0.0,0.0,4.285714285714286,38.57142857142857,38.57142857142857,8.571428571428571,0.0,85.71428571428571,0.0,0.0,0.0,171.42857142857142,38.57142857142857,0.0,0.0,0.0,0.0,68.57142857142857,0.0,0.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,8.571428571428571,4.285714285714286,0.0,428.57142857142856,1.0,9.428571428571429,7.714285714285714,25.714285714285715,8.571428571428571,300.0
Rodrigo Bentancur,URU,25,90.0,1,1,0,0,2,2,0,0,57.0,3.0,4,3.0,0.4,0.4,0.3,6.0,3.0,40.0,45.0,88.9,5.0,24.0,1.0,1.0,1.0,656.0,218.0,19.0,20.0,95.0,18.0,21.0,85.7,2.0,3.0,66.7,0.0,2.0,3.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,3.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,22.0,29.0,7.0,1.0,57.0,100.0,0.0,0.0,86.0,37.0,1.0,0.0,2.0,1.0,32.0,0.0,0,1,0,0,0.0,0.0,0,11.0,0.0,0.0,0.0,True,2022-2023,CM,None,None,None,1.0,Leicester_City_Tottenham,Leicester_City_Tottenham_2022,2.2,1.8,6.0,2.0,2022-09-17,Simon Hooper,Tottenham Hotspur Stadium,Sat,17:30,"61,450",70,Tottenham,Leicester City,25.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,57.0,3.0,4.0,3.0,0.4,0.4,0.3,6.0,3.0,40.0,45.0,88.9,5.0,24.0,1.0,1.0,1.0,656.0,218.0,19.0,20.0,95.0,18.0,21.0,85.7,2.0,3.0,66.7,0.0,2.0,3.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,22.0,29.0,7.0,1.0,57.0,100.0,0.0,0.0,86.0,37.0,1.0,0.0,2.0,1.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,2.2,1.8,6.0,2.0,70.0
Pierre Hojbjerg,DEN,27,90.0,0,1,0,0,1,0,0,0,74.0,1.0,2,1.0,0.0,0.0,0.5,3.0,2.0,61.0,66.0,92.4,4.0,40.0,2.0,2.0,2.0,1055.0,337.0,34.0,36.0,94.4,19.0,20.0,95.0,7.0,7.0,100.0,0.1,2.0,3.0,1.0,0.0,64.0,2.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,20.0,44.0,12.0,1.0,74.0,100.0,0.0,0.0,173.0,75.0,1.0,0.0,1.0,2.0,58.0,1.0,0,0,2,0,0.0,0.0,0,9.0,1.0,0.0,100.0,True,2022-2023,CM,None,None,None,1.0,Leicester_City_Tottenham,Leicester_City_Tottenham_2022,2.2,1.8,6.0,2.0,2022-09-17,Simon Hooper,Tottenham Hotspur Stadium,Sat,17:30,"61,450",70,Tottenham,Leicester City,27.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,1.0,2.0,1.0,0.0,0.0,0.5,3.0,2.0,61.0,66.0,92.4,4.0,40.0,2.0,2.0,2.0,1055.0,337.0,34.0,36.0,94.4,19.0,20.0,95.0,7.0,7.0,100.0,0.1,2.0,3.0,1.0,0.0,64.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,20.0,44.0,12.0,1.0,74.0,100.0,0.0,0.0,173.0,75.0,1.0,0.0,1.0,2.0,58.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0,1.0,2.2,1.8,6.0,2.0,70.0
Ryan Sessegnon,ENG,22,90.0,0,0,0,0,0,0,0,0,49.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,32.0,48.0,66.7,2.0,24.0,4.0,1.0,1.0,427.0,113.0,20.0,27.0,74.1,8.0,13.0,61.5,2.0,3.0,66.7,0.0,0.0,1.0,1.0,0.0,43.0,5.0,0.0,0.0,0.0,5,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,16.0,14.0,4.0,49.0,100.0,0.0,0.0,192.0,135.0,1.0,2.0,0.0,0.0,36.0,4.0,0,1,0,0,0.0,0.0,0,5.0,1.0,3.0,25.0,True,2022-2023,WB,None,None,None,1.0,Leicester_City_Tottenham,Leicester_City_Tottenham_2022,2.2,1.8,6.0,2.0,2022-09-17,Simon Hooper,Tottenham Hotspur Stadium,Sat,17:30,"61,450",70,Tottenham,Leicester City,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,48.0,66.7,2.0,24.0,4.0,1.0,1.0,427.0,113.0,20.0,27.0,74.1,8.0,13.0,61.5,2.0,3.0,66.7,0.0,0.0,1.0,1.0,0.0,43.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,16.0,14.0,4.0,49.0,100.0,0.0,0.0,192.0,135.0,1.0,2.0,0.0,0.0,36.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,25.0,1.0,2.2,1.8,6.0,2.0,70.0
Ivan Perisic,CRO,33,54.0,0,1,0,0,1,0,1,0,42.0,0.0,0,0.0,0.1,0.1,0.3,4.0,1.0,29.0,38.0,76.3,3.0,13.0,3.0,0.0,0.0,529.0,213.0,9.0,12.0,75.0,15.0,18.0,83.3,4.0,6.0,66.7,0.3,3.0,2.0,1.0,1.0,28.0,10.0,1.0,0.0,0.0,7,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,16.0,12.0,1.0,42.0,0.0,0.0,0.0,94.0,69.0,1.0,1.0,1.0,0.0,22.0,1.0,0,1,0,0,0.0,0.0,0,4.0,0.0,1.0,0.0,True,2022-2023,WB,None,None,None,0.6,Leicester_City_Tottenham,Leicester_City_Tottenham_2022,2.2,1.8,6.0,2.0,2022-09-17,Simon Hooper,Tottenham Hotspur Stadium,Sat,17:30,"61,450",70,Tottenham,Leicester City,55.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,1.6666666666666667,0.0,70.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.5,6.666666666666667,1.6666666666666667,48.333333333333336,63.333333333333336,127.16666666666667,5.0,21.666666666666668,5.0,0.0,0.0,881.6666666666667,355.0,15.0,20.0,125.0,25.0,30.0,138.83333333333334,6.666666666666667,10.0,111.16666666666667,0.5,5.0,3.3333333333333335,1.6666666666666667,1.6666666666666667,46.66666666666667,16.666666666666668,1.6666666666666667,0.0,0.0,11.666666666666668,8.333333333333334,6.666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,3.3333333333333335,0.0,0.0,0.0,1.6666666666666667,0.0,1.6666666666666667,23.333333333333336,26.666666666666668,20.0,1.6666666666666667,70.0,0.0,0.0,0.0,156.66666666666669,115.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,36.66666666666667,1.6666666666666667,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,1.6666666666666667,0.0,1.0,3.666666666666667,3.0,10.0,3.3333333333333335,116.66666666666667
Emerson,BRA,23,36.0,0,0,0,0,0,0,0,0,31.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,29.0,82.8,0.0,10.0,2.0,0.0,0.0,299.0,50.0,11.0,12.0,91.7,9.0,10.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,1.0,0.0,0.0,0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,15.0,4.0,0.0,31.0,0.0,0.0,0.0,86.0,59.0,1.0,0.0,0.0,0.0,20.0,1.0,0,1,1,0,0.0,0.0,0,1.0,2.0,0.0,100.0,True,2022-2023,WB,None,None,None,0.4,Leicester_City_Tottenham,Leicester_City_Tottenham_2022,2.2,1.8,6.0,2.0,2022-09-17,Simon Hooper,Tottenham Hotspur Stadium,Sat,17:30,"61,450",70,Tottenham,Leicester City,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,72.5,206.99999999999997,0.0,25.0,5.0,0.0,0.0,747.5,125.0,27.5,30.0,229.25,22.5,25.0,225.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,57.5,15.0,2.5,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,30.0,37.5,10.0,0.0,77.5,0.0,0.0,0.0,215.0,147.5,2.5,0.0,0.0,0.0,50.0,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,5.0,0.0,250.0,1.0,5.5,4.5,15.0,5.0,175.0
